id,value,feed_id,created_at,lat,lon,ele
0G87QM2H42BN8Z9XH673WG1KR3,100.0,3457422,2026-08-24 02:08:15 UTC,,,
0G87QNSF5WRWJAZ8K30CXMXQ0X,100.0,3457422,2026-08-24 02:11:15 UTC,,,
0G87QR5H7MHBZ5RP2ADGCEEVCJ,100.0,3457422,2026-08-24 02:15:24 UTC,,,
0G87QSWE6QD3ZP236TKH2X1GGJ,100.0,3457422,2026-08-24 02:18:24 UTC,,,
0G87QVKE6ER6GMDY6DHK89X7RC,100.0,3457422,2026-08-24 02:21:24 UTC,,,
0G87QXA96TZTZK3NA48MBGFKHR,100.0,3457422,2026-08-24 02:24:24 UTC,,,
0G87QZ18759XZQ936QSYERGX79,100.0,3457422,2026-08-24 02:27:24 UTC,,,
0G87R1J687NT157WXJERTYY63P,100.0,3457422,2026-08-24 02:31:49 UTC,,,
0G87R9T0FV2TCT5Y9F90BXTYD4,42.59,3457422,2026-08-24 02:46:14 UTC,,,
0G87RBGPDEZC2BKCG09PWJ0D1M,44.14,3457422,2026-08-24 02:49:13 UTC,,,
0G87RD70C5NR6G3JFYRW7H7GC0,43.61,3457422,2026-08-24 02:52:11 UTC,,,
0G87RGE1HJFYS3N4QPNWTQ9TC8,100.0,3457422,2026-08-24 02:57:48 UTC,,,
0G87RJ4YE0H6FC3CJFR52ZVHT1,100.0,3457422,2026-08-24 03:00:48 UTC,,,
0G87RKVWKCASP8A14VGBKSZY4N,94.6,3457422,2026-08-24 03:03:48 UTC,,,
0G87RNJSEK5SRJP2GVW3TH852F,77.93,3457422,2026-08-24 03:06:48 UTC,,,
0G87RS14GT4A1HQ0HNAYGQYV6W,68.21,3457422,2026-08-24 03:12:50 UTC,,,
0G87RWFBJMSTVHJ0N18P7X1JQ9,65.82,3457422,2026-08-24 03:18:51 UTC,,,
0G87RY68KZ3FJPKZ9FW10PWQHX,63.99,3457422,2026-08-24 03:21:51 UTC,,,
0G87RZX66FDN4J8GC536KHB36Y,63.25,3457422,2026-08-24 03:24:51 UTC,,,
0G87S2HRMDMKV61QCJZN1KY0G9,59.31,3457422,2026-08-24 03:29:28 UTC,,,
0G87S48PN1Q6XWPZX0D4E4WVN7,57.91,3457422,2026-08-24 03:32:28 UTC,,,
0G87S5ZMNC5R1H6QHK3CGMA0P7,57.46,3457422,2026-08-24 03:35:28 UTC,,,
0G87S7PHQCB8CEKJ3YXDG206HF,55.84,3457422,2026-08-24 03:38:28 UTC,,,
0G87S9DJP1TCC0ET5J8NK57ZY0,54.72,3457422,2026-08-24 03:41:28 UTC,,,
0G87SB4JR9ATNZJ7AQKTWJFTAD,53.73,3457422,2026-08-24 03:44:28 UTC,,,
0G87SCVFQZ48YHFD5JY8Z3EBCY,52.27,3457422,2026-08-24 03:47:28 UTC,,,
0G87SEJCQW2WR83EMFGG8DW9S1,50.6,3457422,2026-08-24 03:50:28 UTC,,,
0G87SG9BS6PQGEM9AKDXPYSPFB,50.22,3457422,2026-08-24 03:53:28 UTC,,,
0G87SJ08VHSVV4T13N4MRVQFJ4,49.98,3457422,2026-08-24 03:56:28 UTC,,,
0G87SKQ6SW5SWASSA979T09W2V,50.04,3457422,2026-08-24 03:59:28 UTC,,,
0G87SNE4S8T9A0CWY0BKQDNBGH,49.28,3457422,2026-08-24 04:02:28 UTC,,,
0G87SWT2WEVPKNSV7BJ31VPAY1,50.5,3457422,2026-08-24 04:15:21 UTC,,,
0G87SYH2WP607E44YV9ZP28SCP,50.08,3457422,2026-08-24 04:18:22 UTC,,,
0G87T080DB9199J3AYX969J559,50.62,3457422,2026-08-24 04:21:22 UTC,,,
0G87T1YYSW7NB8W9YA4G40CG5X,51.08,3457422,2026-08-24 04:24:22 UTC,,,
0G87T3NRXNMG7JM5TABS6728M8,50.5,3457422,2026-08-24 04:27:21 UTC,,,
0G87T5CVPC0TDDATX40GVHN5Z2,50.15,3457422,2026-08-24 04:30:22 UTC,,,
0G87T73Q2W06V7PEJE9VV2ZS63,50.4,3457422,2026-08-24 04:33:22 UTC,,,
0G87T8TR7YV71JMZQ7VWBQ16EY,50.77,3457422,2026-08-24 04:36:22 UTC,,,
0G87TAHPFXCJVQW2DE41NTWSCG,50.78,3457422,2026-08-24 04:39:22 UTC,,,
