id,value,feed_id,created_at,lat,lon,ele
0G87P1WZMS0A1FYK420EHV50SE,84.5,3457407,2026-08-24 00:40:34 UTC,,,
0G87P5RPRR0BFK1DB5WAGCJ5YQ,80.75,3457407,2026-08-24 00:47:19 UTC,,,
0G87P8M8QZ0JCY1R7R7R11HQG9,82.25,3457407,2026-08-24 00:52:19 UTC,,,
0G87PBFVRDXRTAWH89EPYG6YHN,82.25,3457407,2026-08-24 00:57:19 UTC,,,
0G87PEBDW7NFC2STSJFGXR90B6,82.25,3457407,2026-08-24 01:02:19 UTC,,,
0G87PH6ZVR39HV67AWKRSG46GT,82.25,3457407,2026-08-24 01:07:19 UTC,,,
0G87PM3FTDM5HVNYR967YHGC03,82.25,3457407,2026-08-24 01:12:22 UTC,,,
0G87PPZ2XDF0MZHBWZ11RX45W9,82.25,3457407,2026-08-24 01:17:22 UTC,,,
0G87PSTP2WDA5TZE7B69DYHZDY,82.25,3457407,2026-08-24 01:22:23 UTC,,,
0G87PYFF44EN0DM5S2FED11XWZ,77.75,3457407,2026-08-24 01:30:30 UTC,,,
0G87Q1B2BG0NKDRDDQYP8QRK1S,77.75,3457407,2026-08-24 01:35:30 UTC,,,
0G87Q46M2E1PWHJ2WW48TXKPTY,77.75,3457407,2026-08-24 01:40:30 UTC,,,
0G87Q5S8ZEYTZ7Z6ZX7V538A8P,79.25,3457407,2026-08-24 01:43:16 UTC,,,
0G87Q6BM1VRZXAFHA9P6XJEWJ6,79.25,3457407,2026-08-24 01:44:16 UTC,,,
0G87Q6YX1TR7RRYA5ZHMSR6RYK,79.25,3457407,2026-08-24 01:45:20 UTC,,,
0G87Q7H70WR17CDZDKX563YEZP,79.25,3457407,2026-08-24 01:46:20 UTC,,,
0G87Q83J259ZGRABMRB5Z6951J,79.25,3457407,2026-08-24 01:47:20 UTC,,,
0G87Q8NV0DZ2YGETM1WPX0ZSRB,79.25,3457407,2026-08-24 01:48:20 UTC,,,
0G87Q9872NZ04MPZC8WQ7Y0GDF,79.25,3457407,2026-08-24 01:49:20 UTC,,,
0G87Q9TH53GAJW1EZ7PJX437CF,79.25,3457407,2026-08-24 01:50:20 UTC,,,
0G87QACV1KNG1QPVXYBVK7NXA7,79.25,3457407,2026-08-24 01:51:20 UTC,,,
0G87QAZ72RKSN9AW0HD7SRBA05,79.25,3457407,2026-08-24 01:52:20 UTC,,,
0G87QBHH42ZHFK035MXGZZ29KV,79.25,3457407,2026-08-24 01:53:20 UTC,,,
0G87QC3V0EQ3SV31BSVNB4HD78,79.25,3457407,2026-08-24 01:54:20 UTC,,,
0G87QCP75FP62ERG14N0JQ4DMQ,79.25,3457407,2026-08-24 01:55:20 UTC,,,
0G87QD8J2PGY2VYYKKYFWWM6X4,79.25,3457407,2026-08-24 01:56:20 UTC,,,
0G87QDTV29XS453W35CFEWDDPA,79.25,3457407,2026-08-24 01:57:20 UTC,,,
0G87QED73PYF8NY8YYG2WF7NM6,79.25,3457407,2026-08-24 01:58:20 UTC,,,
0G87QEZH5DREF1K3JBX9T5BT2K,79.25,3457407,2026-08-24 01:59:20 UTC,,,
0G87QFHV4GNTEXSMD88PXXEXTS,79.25,3457407,2026-08-24 02:00:20 UTC,,,
0G87QG486Z9XWR65QJ40VPDGFQ,79.25,3457407,2026-08-24 02:01:21 UTC,,,
0G87QGPJ53ZEQBQAX176CGPVKG,79.25,3457407,2026-08-24 02:02:21 UTC,,,
0G87QH8V4WMSDPN1RNJCFHH9JY,79.25,3457407,2026-08-24 02:03:21 UTC,,,
0G87QHV62W5TGH57K5DK8RSQM8,79.25,3457407,2026-08-24 02:04:21 UTC,,,
0G87QJX95DKH31N9Q843YT51M8,79.25,3457407,2026-08-24 02:06:13 UTC,,,
0G87QKFQ44AWCRTW8MGN5G15ZD,79.25,3457407,2026-08-24 02:07:13 UTC,,,
0G87QM2W4V1T52G8JNZEBA42DS,79.25,3457407,2026-08-24 02:08:16 UTC,,,
0G87QMN8477SGGN31CDT58SY7G,79.25,3457407,2026-08-24 02:09:16 UTC,,,
0G87QN7J5W6TCMQ3FA9Q8DXGTP,79.25,3457407,2026-08-24 02:10:16 UTC,,,
0G87QNSW4B30YMNED8T721CBSA,79.25,3457407,2026-08-24 02:11:16 UTC,,,
