id,value,feed_id,created_at,lat,lon,ele
0G87P1XAQDQF15E2APB77T6FAY,37.7,3457408,2026-08-24 00:40:35 UTC,,,
0G87P5S1R3XB8HSC9E3D4J1PGK,37.76,3457408,2026-08-24 00:47:20 UTC,,,
0G87P8MKRJFH7ZT23ERV4AZT3K,37.39,3457408,2026-08-24 00:52:20 UTC,,,
0G87PBG5T1FCDFCH4K9FZ775AE,37.81,3457408,2026-08-24 00:57:20 UTC,,,
0G87PEBRVFZFNTT8S0XWZV20JS,37.39,3457408,2026-08-24 01:02:20 UTC,,,
0G87PH7AMTFYMC6WG500SK5KD4,37.8,3457408,2026-08-24 01:07:20 UTC,,,
0G87PM3TVK4M7Y428CFMX8QAYF,37.61,3457408,2026-08-24 01:12:23 UTC,,,
0G87PPZDVHQ3YBG6CWS396TTZ5,37.56,3457408,2026-08-24 01:17:24 UTC,,,
0G87PSV1VJFJBW9530W5435QF4,37.75,3457408,2026-08-24 01:22:24 UTC,,,
0G87PYFT3M9S13WN9JRS6C1BQZ,37.39,3457408,2026-08-24 01:30:31 UTC,,,
0G87Q1BD0CQ2H6XYP2M47XDFSP,37.76,3457408,2026-08-24 01:35:31 UTC,,,
0G87Q46Z498CN7S0RA5XC17XJK,37.45,3457408,2026-08-24 01:40:31 UTC,,,
0G87Q5SHZFTBYNQNAST2038YEH,37.48,3457408,2026-08-24 01:43:17 UTC,,,
0G87Q6BY00HQTG6EX2FDXX0QA1,37.56,3457408,2026-08-24 01:44:17 UTC,,,
0G87Q6Z6ZYJBAQS6FTBM438SFM,37.83,3457408,2026-08-24 01:45:21 UTC,,,
0G87Q7HGZ76GT15N89R0WZQWQS,37.58,3457408,2026-08-24 01:46:21 UTC,,,
0G87Q83VZZXF0RR2A15N3A8NFE,37.39,3457408,2026-08-24 01:47:21 UTC,,,
0G87Q8P50VHWH48WK7P7J5BYXX,37.75,3457408,2026-08-24 01:48:21 UTC,,,
0G87Q98GZMBQ3ESQJSQ9YHFPGK,37.67,3457408,2026-08-24 01:49:21 UTC,,,
0G87Q9TV1HG4521B995TVGCX61,37.38,3457408,2026-08-24 01:50:21 UTC,,,
0G87QAD5054QAQ0JX3GWYGKZDV,37.65,3457408,2026-08-24 01:51:21 UTC,,,
0G87QAZH1445QNGR7AHGEERNVJ,37.75,3457408,2026-08-24 01:52:21 UTC,,,
0G87QBHV173SN3X4G79T7QNNJ9,37.41,3457408,2026-08-24 01:53:21 UTC,,,
0G87QC451S92FQN0SPSVRWR0FA,37.57,3457408,2026-08-24 01:54:21 UTC,,,
0G87QCPH3PE48BNY92C3F2T6YM,37.83,3457408,2026-08-24 01:55:21 UTC,,,
0G87QD8W33VFC875NRCHGT1Y0B,37.51,3457408,2026-08-24 01:56:21 UTC,,,
0G87QDV52EZSYTSTCR4DZ7EJXT,37.53,3457408,2026-08-24 01:57:21 UTC,,,
0G87QEDH2DH7P7176ZWPE37DZ7,37.82,3457408,2026-08-24 01:58:21 UTC,,,
0G87QEZV3E2RMN0JKXM26PM4RH,37.52,3457408,2026-08-24 01:59:21 UTC,,,
0G87QFJ558G50CQ66062TPPAE0,37.49,3457408,2026-08-24 02:00:21 UTC,,,
0G87QG4J40P5JCBVAR5Z9J317X,37.83,3457408,2026-08-24 02:01:22 UTC,,,
0G87QGPW33BHB7GNPW8Y38AEE5,37.58,3457408,2026-08-24 02:02:22 UTC,,,
0G87QH97TBM26S831F1SQRJB50,37.42,3457408,2026-08-24 02:03:22 UTC,,,
0G87QHVG4BQQP3R98AEEAVFD3Z,37.79,3457408,2026-08-24 02:04:22 UTC,,,
0G87QJXK4P532T2WAFPYDCFT9A,37.4,3457408,2026-08-24 02:06:14 UTC,,,
0G87QKG13274VPJ551J2ZFE84A,37.73,3457408,2026-08-24 02:07:14 UTC,,,
0G87QM366CDNS3S488YBKJN2D6,37.7,3457408,2026-08-24 02:08:17 UTC,,,
0G87QMNJ5G6PS8QMQ2YXGAGQ9X,37.36,3457408,2026-08-24 02:09:17 UTC,,,
0G87QN7X3QYM458ZC14S2W1KW9,37.6,3457408,2026-08-24 02:10:17 UTC,,,
0G87QNT64MYQCVC1QY1GA8ENB1,37.8,3457408,2026-08-24 02:11:17 UTC,,,
